ClientId,HispanicSubgroupId
3,1
10,1
13,1
23,1
31,1
38,1
51,1
56,1
63,1
69,1
73,1
75,1
76,1
77,1
81,1
87,1
90,1
95,1
97,1
99,1
101,1
105,1
106,1
107,1
112,1
113,1
115,1
119,1
129,1
132,1
133,1
141,1
147,1
162,1
165,1
166,1
168,1
169,1
171,1
173,1
178,1
190,1
191,1
194,1
196,1
199,1
200,1
201,1
213,1
216,1
218,1
219,1
230,1
236,1
246,1
252,1
258,1
259,1
261,1
268,1
271,1
275,1
276,1
277,1
291,1
313,1
318,1
320,1
323,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
345,1
346,1
357,1
362,1
368,1
382,1
388,1
391,1
392,1
393,1
400,1
401,1
410,1
413,1
414,1
417,1
418,1
422,1
428,1
435,1
440,1
443,1
445,1
446,1
454,1
457,1
461,1
464,1
472,1
473,1
485,1
486,1
487,1
489,1
492,1
494,1
500,1
501,1
503,1
504,1
505,1
511,1
517,1
518,1
530,1
533,1
537,1
547,1
552,1
556,1
562,1
564,1
565,1
568,1
570,1
571,1
572,1
574,1
575,1
579,1
580,1
585,1
589,1
595,1
600,1
602,1
608,1
614,1
617,1
619,1
622,1
624,1
626,1
629,1
631,1
639,1
647,1
651,1
657,1
662,1
670,1
674,1
676,1
694,1
697,1
715,1
719,1
722,1
734,1
735,1
737,1
746,1
747,1
755,1
758,1
759,1
763,1
769,1
771,1
773,1
776,1
778,1
784,1
785,1
787,1
789,1
792,1
797,1
800,1
803,1
810,1
811,1
815,1
817,1
818,1
841,1
843,1
847,1
849,1
859,1
869,1
876,1
882,1
885,1
893,1
896,1
902,1
910,1
911,1
912,1
916,1
917,1
925,1
929,1
936,1
939,1
946,1
947,1
956,1
958,1
963,1
967,1
975,1
986,1
988,1
989,1
993,1
1001,1
1003,1
1004,1
1010,1
1011,1
1012,1
1013,1
1020,1
1022,1
1024,1
1031,1
1033,1
1034,1
1036,1
1038,1
1042,1
1047,1
1051,1
1052,1
1055,1
1058,1
1059,1
1063,1
1077,1
1090,1
1094,1
1095,1
1100,1
1108,1
1114,1
1116,1
1117,1
1120,1
1133,1
1136,1
1144,1
1146,1
1148,1
1155,1
1164,1
1165,1
1173,1
1177,1
1183,1
1186,1
1187,1
1190,1
1192,1
1196,1
1199,1
1208,1
1210,1
1212,1
1219,1
1222,1
1224,1
1225,1
1232,1
1235,1
1240,1
1243,1
1250,1
1254,1
1255,1
1268,1
1269,1
1272,1
1275,1
1288,1
1290,1
1293,1
1297,1
1298,1
1302,1
1303,1
1309,1
1311,1
1316,1
1319,1
1324,1
1332,1
1338,1
1339,1
1341,1
1344,1
1347,1
1349,1
1357,1
1358,1
1359,1
1361,1
1371,1
1384,1
1385,1
1388,1
1389,1
1392,1
1393,1
1394,1
1396,1
1397,1
1399,1
1400,1
1405,1
1415,1
1419,1
1424,1
1425,1
1427,1
1434,1
1435,1
1439,1
1442,1
1443,1
1444,1
1445,1
1448,1
1449,1
1453,1
1455,1
1462,1
1464,1
1466,1
1469,1
1478,1
1480,1
1484,1
1494,1
1496,1
1510,1
1511,1
1524,1
1532,1
1535,1
1536,1
1538,1
1539,1
1540,1
1542,1
1543,1
1544,1
1545,1
1546,1
1554,1
1555,1
1558,1
1560,1
1567,1
1575,1
1579,1
1581,1
1583,1
1593,1
1594,1
1598,1
1606,1
1609,1
1613,1
1615,1
1617,1
1622,1
1626,1
1629,1
1632,1
1636,1
1643,1
1653,1
1655,1
1660,1
1661,1
1677,1
1678,1
1679,1
1690,1
1691,1
1710,1
1716,1
1720,1
1728,1
1735,1
1742,1
1743,1
1747,1
1750,1
1753,1
1757,1
1758,1
1762,1
1772,1
1775,1
1779,1
1788,1
1790,1
1803,1
1805,1
1806,1
1807,1
1812,1
1813,1
1814,1
1823,1
1827,1
1831,1
1835,1
1838,1
1840,1
1844,1
1845,1
1849,1
1850,1
1855,1
1857,1
1859,1
1867,1
1868,1
1869,1
1873,1
1878,1
1884,1
1885,1
1886,1
1888,1
1894,1
1896,1
1904,1
1905,1
1910,1
1915,1
1918,1
1919,1
1922,1
1923,1
1924,1
1933,1
1939,1
1940,1
1941,1
1944,1
1957,1
1962,1
1965,1
1968,1
1976,1
1977,1
1978,1
1980,1
1985,1
1986,1
1988,1
1996,1
2003,1
2004,1
2006,1
2013,1
2015,1
2016,1
2018,1
2021,1
2027,1
2036,1
2040,1
2045,1
2050,1
2073,1
2077,1
2083,1
2086,1
2091,1
2092,1
2095,1
2096,1
2104,1
2105,1
2108,1
2113,1
2114,1
2118,1
2120,1
2121,1
2122,1
2124,1
2127,1
2136,1
2144,1
2149,1
2154,1
2162,1
2166,1
2167,1
2171,1
2182,1
2183,1
2184,1
2186,1
2188,1
2194,1
2196,1
2197,1
2199,1
2201,1
2202,1
2208,1
2209,1
2212,1
2214,1
2216,1
2217,1
2221,1
2222,1
2223,1
2226,1
2228,1
2229,1
2235,1
2238,1
2243,1
2250,1
2254,1
2259,1
2265,1
2266,1
2267,1
2271,1
2281,1
2284,1
2285,1
2291,1
2305,1
2306,1
2307,1
2308,1
2309,1
2311,1
2313,1
2316,1
2318,1
2323,1
2329,1
2330,1
2331,1
2332,1
2333,1
2335,1
2336,1
2342,1
2356,1
2357,1
2358,1
2361,1
2363,1
2376,1
2378,1
2387,1
2389,1
2392,1
2395,1
2400,1
2407,1
2408,1
2411,1
2412,1
2414,1
2425,1
2430,1
2436,1
2440,1
2452,1
2455,1
2469,1
2471,1
2472,1
2476,1
2477,1
2493,1
2495,1
2496,1
2497,1
2498,1
2501,1
2503,1
2506,1
2511,1
2512,1
2513,1
2515,1
2516,1
2529,1
2530,1
2537,1
2539,1
2541,1
2542,1
2545,1
2546,1
2548,1
2549,1
2551,1
2555,1
2556,1
2562,1
2567,1
2568,1
2569,1
2570,1
2574,1
2575,1
2580,1
2581,1
2582,1
2590,1
2591,1
2592,1
2595,1
2596,1
2597,1
2607,1
2615,1
2617,1
2623,1
2626,1
2631,1
2637,1
2638,1
2642,1
2649,1
2650,1
2657,1
2661,1
2665,1
2669,1
2671,1
2672,1
2677,1
2682,1
2684,1
2700,1
2701,1
2703,1
2705,1
2714,1
2720,1
2736,1
2740,1
2741,1
2744,1
2746,1
2752,1
2777,1
2784,1
2792,1
2793,1
2795,1
2801,1
2808,1
2814,1
2815,1
2821,1
2830,1
2831,1
2832,1
2836,1
2840,1
2841,1
2844,1
2847,1
2855,1
2857,1
2860,1
2864,1
2873,1
2878,1
2879,1
2884,1
2897,1
2902,1
2905,1
2906,1
2908,1
2909,1
2910,1
2921,1
2933,1
2934,1
2935,1
2937,1
2939,1
2941,1
2944,1
2952,1
2953,1
2955,1
2958,1
2962,1
2963,1
2965,1
2966,1
2968,1
2970,1
2972,1
2990,1
2993,1
3000,1
3010,1
3013,1
3039,1
3046,1
3047,1
3049,1
3051,1
3057,1
3060,1
3069,1
3076,1
3082,1
3102,1
3115,1
3131,1
3138,1
3139,1
3157,1
3158,1
3161,1
3180,1
3181,1
3195,1
3198,1
3206,1
3208,1
3215,1
3226,1
3230,1
3232,1
3235,1
3245,1
3252,1
3259,1
3265,1
3278,1
3279,1
3282,1
3283,1
3288,1
3290,1
3294,1
3295,1
3300,1
3312,1
3313,1
3318,1
3322,1
3325,1
3334,1
3337,1
3339,1
3343,1
3345,1
3347,1
3349,1
3350,1
3368,1
3371,1
3375,1
3384,1
3385,1
3387,1
3391,1
3392,1
3405,1
3407,1
3409,1
3411,1
3414,1
3417,1
3418,1
3419,1
3421,1
3424,1
3427,1
3431,1
3436,1
3437,1
3442,1
3444,1
3453,1
3460,1
3463,1
3470,1
3492,1
3494,1
3506,1
3517,1
3519,1
3524,1
3528,1
3531,1
3532,1
3539,1
3544,1
3553,1
3556,1
3558,1
3559,1
3562,1
3563,1
3582,1
3586,1
3588,1
3617,1
3622,1
3634,1
3637,1
